pentad,map_ctn,elev,tri_med,ndvi
3050_2500,50.88,1464.6047,38.32753579,0.225755689
3055_2540,46.2,1534.5536,138.7371615,0.246717954
3105_2245,49.04,1293.108,23.28089345,0.161669801
3105_2400,49.56,1483.6992,75.61084549,0.199915423
3115_2105,53,1092.9398,40.11234224,0.107131712
3115_2525,45.16,1350.1011,137.5863365,0.248718964
3120_2140,51.64,1275.7925,60.53511364,0.131793002
3120_2215,46.32,1397.8646,58.54058421,0.149555665
3120_2305,49.96,1279.4912,28.28427125,0.178202915
3125_2330,47.48,1365.9081,51.48786265,0.191004351
3125_2355,44.96,1456.2638,82.77982796,0.194052783
3125_2455,46.6,1395.3552,170.1146671,0.240788007
3125_2610,41.56,1693.4547,182.443141,0.294435755
3130_2540,44.52,1291.6632,65.19585865,0.239617391
3135_2030,45.16,1122.9204,89.90550595,0.126198573
3135_2410,42.4,1618.0564,89.02246837,0.23863589
3140_2120,48.76,1274.1788,46.07602413,0.134430217
3140_2210,47.04,1466.1288,112.173972,0.167867965
3140_2320,47.96,1223.6173,39.34463115,0.17725086
3140_2640,45.88,1417.085,221.3967007,0.353595227
3145_2235,47.2,1480.0371,136.3286426,0.172484619
3145_2430,40.64,1688.7751,404.5800292,0.260834143
3150_2045,36.04,1179.7963,67.85278181,0.13250376
3150_2525,49.92,1018.0867,55.15432595,0.308364334
3150_2605,40.64,1248.4269,72.77362159,0.267336568
3155_2125,44.24,1349.3253,86.45808214,0.141457561
3155_2250,45.24,1267.4346,405.5175677,0.205757868
3155_2330,42.68,1116.4502,97.44998687,0.192845884
3200_2215,35.32,1481.0922,54.04627647,0.175857141
3205_2055,28.2,1273.1783,65.86349476,0.130875425
3205_2545,41.76,1119.3527,237.0147641,0.244149977
3210_2150,37.04,1121.0742,208.3386666,0.153025695
3210_2345,31.76,1307.2545,263.1824405,0.218404292
3210_2445,32.24,1378.9264,225.4462242,0.25947428
3215_2115,30.4,1478.276,105.3280563,0.157642377
3215_2140,38.84,1022.7551,143.9079566,0.15933767
3215_2215,33.72,858.8433,67.5499815,0.129439094
3215_2225,27.48,1230.7642,243.3752241,0.213522436
3215_2230,29.12,1107.6021,307.9529175,0.216001743
3215_2240,35.64,922.2543,21.88606863,0.139106391
3215_2305,39,929.0284,19.5192213,0.14058968
3220_1950,48.76,370.018,33.98529094,0.082514798
3225_2335,36.08,860.4011,14.2126704,0.166527236
3225_2425,38.08,658.1303,27.56809154,0.230446657
3225_2455,30.76,811.3156,38.23610859,0.27692494
3225_2540,36.12,966.3748,319.8874802,0.310247805
3230_2050,24.04,1467.5435,84.43339242,0.141154027
3230_2510,27.68,1002.205,370.6184021,0.33080173
3230_2615,30.76,937.4804,443.6000451,0.516046004
3235_2240,35,864.0586,16.37070554,0.129090907
3240_2020,41.16,692.8671,68.2202316,0.2329543
3240_2150,51.4,617.1121,41.89272013,0.091433669
3240_2455,32.2,723.8975,48.7493587,0.205182906
3245_2005,44.68,764.7198,151.8436694,0.209664115
3245_2315,35.24,797.5961,25.17935662,0.145496744
3245_2405,35.56,886.3378,64.28452368,0.190450311
3250_2125,32.32,600.3436,133.9738781,0.104818737
3250_2600,28.68,738.6638,104.0865025,0.2931448
3255_2220,26.52,961.3856,109.0114673,0.128832009
3255_2535,25.84,643.179,156.0961242,0.299268364
3300_2455,32.88,316.0324,37.18870796,0.21032656
